Mecha Leo,,,,Giga Leo,,,,Alpha Leo,,,,
Seconds,X Coordinate, Y Coordinate,,Seconds,X Coordinate, Y Coordinate,,Seconds,X Coordinate, Y Coordinate,,
53,452.9115147963668,244.64293388026172,,53,360.07100591715977,246.03550295857988,,53,342.88757396449705,303.05325443786984,,
54,452.04535534680707,244.39396527184743,,54,364.7573964497042,239.7869822485207,,54,336.6390532544379,305.396449704142,,
55,453.02637754623106,243.23007603491973,,55,356.94674556213016,246.03550295857988,,55,337.42011834319527,300.71005917159766,,
56,454.6876443418014,241.560142417244,,56,362.41420118343194,236.66272189349112,,56,343.6686390532544,302.2721893491124,,
57,454.32821824381926,241.05115089514067,,57,362.41420118343194,242.9112426035503,,57,342.88757396449705,302.2721893491124,,
58,454.4791236860202,241.519500933294,,58,362.41420118343194,242.9112426035503,,58,342.88757396449705,302.2721893491124,,
59,455.24232209737823,240.25374531835203,,59,363.1952662721894,242.1301775147929,,59,337.42011834319527,299.92899408284023,,
60,454.7697943082558,239.6204564666103,,60,363.1952662721894,240.5680473372781,,60,340.5443786982249,299.14792899408286,,
61,454.7192078133478,239.24461928015916,,61,357.7278106508876,241.3491124260355,,61,340.5443786982249,299.14792899408286,,
62,454.9880890730192,239.03858104609012,,62,360.85207100591714,241.3491124260355,,62,340.5443786982249,299.14792899408286,,
63,454.0503767674202,239.5786978240623,,63,360.85207100591714,241.3491124260355,,63,342.1065088757397,299.14792899408286,,
64,452.8116356700047,243.8068669527897,,64,349.3104457064188,240.96824987093444,,64,336.9195339021928,300.6013395724378,,
65,447.86766431924883,249.33969092331768,,65,348.2080175172646,237.8397338723261,,65,338.96077896077895,303.6506506506506,,
66,448.73947935016633,247.01419064396163,,66,348.36634582911176,237.4449510300574,,66,338.4532420091324,303.47406392694063,,
67,448.34586537548654,244.8680337985379,,67,349.4070193372519,237.06866002214838,,67,338.3898123324397,304.02171581769437,,
68,448.20495883591803,244.58749760673942,,68,350.3170793974981,237.3153774146881,,68,338.82833738410295,303.98019623728504,,
69,447.581583041618,244.8826332166472,,69,351.3924039780521,236.8983196159122,,69,339.43350604490496,304.57758385601306,,
70,447.5108108108108,245.58698698698697,,70,352.5290909090909,236.46138528138525,,70,339.6328202358448,304.7682959762355,,
71,447.2877518452024,245.42968282465588,,71,353.34560221185416,236.5938310005184,,71,339.86203779043484,304.8631226833017,,
72,446.68409267912773,245.07681074766356,,72,353.12638312586444,236.77705739972336,,72,339.82512608895,305.31801925722147,,
73,446.2452052167242,244.1309934790947,,73,353.23841632088516,236.41908713692945,,73,339.70004510599904,305.3591339648173,,
74,445.83606094808124,243.68914597441685,,74,353.51224349025694,236.19046387308154,,74,339.6213261648745,305.25905017921144,,
75,445.86528594085263,243.7139658550238,,75,352.1248198083608,236.32604087170355,,75,339.86634155152166,305.26289171859474,,
76,445.8923378076063,243.36539895600296,,76,352.5060919250483,235.8901772960255,,76,339.3921251348436,305.3209277238403,,
77,446.12535211267607,243.4181220657277,,77,353.4633161512027,235.43634020618558,,77,340.0693720866466,305.30929531121467,,
78,446.48411776099164,244.24065465814448,,78,353.8057837097878,235.1252566735113,,78,339.373293821839,306.25053879310343,,
79,447.0072695551032,243.5324222157604,,79,353.2563648625864,235.48836621143147,,79,339.829834872656,306.7516559380539,,
80,445.22206037064007,238.12834830460466,,80,353.6322810506255,235.49689286602037,,80,336.47086558135396,303.9819411084423,,
81,445.0252976190476,237.69990079365078,,81,353.66294565593626,237.33731394946346,,81,340.92959051324806,305.29525662405035,,
